Layer,Name,GEOID,ADI_2023
,,,"Area Deprivation Index, 2023"
Census tract,Tract 6718,17031671800,94.0
Census tract,Tract 6719,17031671900,90.0
Census tract,Tract 6720,17031672000,86.0
Census tract,Tract 6805,17031680500,84.0
Census tract,Tract 6806,17031680600,82.0
Census tract,Tract 6809,17031680900,84.75
Census tract,Tract 6810,17031681000,87.0
Census tract,Tract 6811,17031681100,83.0
Census tract,Tract 6812,17031681200,94.0
Census tract,Tract 6813,17031681300,75.0
Census tract,Tract 6814,17031681400,92.25
Census tract,Tract 6903,17031690300,55.0
Census tract,Tract 6904,17031690400,76.5
Census tract,Tract 6905,17031690500,72.0
Census tract,Tract 6909,17031690900,79.0
Census tract,Tract 6910,17031691000,59.75
Census tract,Tract 6911,17031691100,51.0
Census tract,Tract 6912,17031691200,85.0
Census tract,Tract 6913,17031691300,76.0
Census tract,Tract 6914,17031691400,82.0
Census tract,Tract 6915,17031691500,77.33333333333333
Census tract,Tract 7001,17031700100,62.0
Census tract,Tract 7002,17031700200,59.75
Census tract,Tract 7003.01,17031700301,54.333333333333336
Census tract,Tract 7003.02,17031700302,53.25
