OBJECTID,SgmtEnd1,SgmtEnd2,Street,Owner,Manager,Miles,FacName,Sub_System,TrailType,TrailSurfa,Editor,Edtdate,Muni,TrailWdth,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Status,ShapeSTLength
88,,,,,Glenview,0.00683619,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{730B22E7-08BD-46C7-B4A9-195061EDB70F},Existing,36.0951045408169
89,,,,,Glenview,0.13214942,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{68FA51EE-FCD8-40F9-8E21-1A6F9D69B0A3},Existing,697.748928223199
90,,,,,Glenview,0.00964906,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{93214461-BE20-4042-BF54-5958FBE369A0},Existing,50.9470543560911
91,,,,,Glenview,0.11382269,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{BE225F5B-754B-4F35-9178-DD4C279A7BCC},Existing,600.983779515672
92,,,,,Glenview,0.01688217,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{4D0802A0-6449-474D-AB85-AAC413D2BE45},Existing,89.137875
93,,,,,Glenview,0.11298295,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{8C809CB3-349E-4AB9-89F2-E96930DF9400},Existing,596.549983912216
94,,,,,Glenview,0.00665964,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{478E0952-34C9-4254-B92C-66E79AB9349A},Existing,35.1629067982156
95,,,,,Glenview,0.12596228,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{CC335CA9-CD8E-4D82-B43E-0BAA89D560A5},Existing,665.080829700898
96,,,,,Glenview,0.01107024,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{178D306C-D18E-4668-9B5D-4A987F438A87},Existing,58.4508833061197
97,,,,,Glenview,0.06724557,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{B16A0785-5ABB-468D-9162-F51066E5F468},Existing,355.056605729186
98,,,,,Glenview,0.16987008,,,Sidepath,Concrete,,,Glenview,8-10 ft,PETERDIRKS,2022/04/18 15:57:49+00,PETERDIRKS,2022/04/18 15:57:49+00,{720C2FB1-40F1-41AD-8FBE-DE6628AACAE4},Existing,896.914036802322
99,,,,,Chicago,0.11650346,,,Sidepath,,,,Chicago,,PETERDIRKS,2021/12/09 18:17:22+00,MATTHEWKRAUSE,2024/07/11 13:58:16+00,{A5086363-53C0-4F70-8323-9539893AD757},Existing,615.138288496299
100,,,,,Chicago,0.03288027,,,Road Crossing,,,,Chicago,,PETERDIRKS,2021/12/09 18:17:22+00,MATTHEWKRAUSE,2024/07/11 13:58:16+00,{00916DD0-B028-4BD4-8949-3BF17A888DA0},Existing,173.607845137576
