SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM,CENSUS_TRACT
2399.0,STATE,35TH STREET,SB,NS,"29,31",,CHICAGO,State & 35th Street,17031350500
2582.0,COTTAGE GROVE,79TH STREET,SB,FS,"4,X4",,CHICAGO,Cottage Grove & 79th Street,17031440200
2218.0,KING DRIVE,51ST STREET,SB,FS,3,,CHICAGO,King Drive & 51st Street,17031400100
5562.0,MILWAUKEE,DIVERSEY/KIMBALL,NWB,NS,56,,CHICAGO,Milwaukee & Diversey/Kimball,17031220600
1429.0,STATE,JACKSON,SB,NS,"2,6,10,29,36,62,146,148",N62,CHICAGO,State & Jackson,17031320500
3019.0,CALIFORNIA,DIVISION,SB,NS,94,,CHICAGO,California & Division,17031240900
1869.0,CLARK,ADAMS,SB,FS,"22,24",N22,CHICAGO,Clark & Adams,17031320500
5502.0,MILWAUKEE,GRAND/HALSTED,SEB,NS,56,,CHICAGO,Milwaukee & Grand/Halsted (Blue Line),17031243500
9844.0,TALCOTT,ORIOLE,NWB,NS,88,,CHICAGO,Talcott & Oriole,17031100300
14554.0,WESTERN,ROOSEVELT,SB,FS,"49,X49,157",N49,CHICAGO,Western & Roosevelt,17031284300
9581.0,AUSTIN,FULLERTON,SB,NS,91,,CHICAGO,Austin & Fullerton,17031190600
10248.0,CICERO,JACKSON,SB,NS,54,,CHICAGO,Cicero & Jackson,17031252200
4402.0,ARCHER,CICERO,NEB,NS,"62,62H",,CHICAGO,Archer & Cicero,17031560600
17190.0,PULASKI,ROOSEVELT,SB,FS,53,,CHICAGO,Pulaski & Roosevelt,17031290900
4856.0,MARINE DRIVE,LAWRENCE,SB,NS,"136,146,148",,CHICAGO,Marine Drive & Lawrence,17031031300
10455.0,DEMPSTER,SKOKIE BLVD,EB,NS,54A,,SKOKIE,Dempster & Skokie Blvd,
3358.0,65TH STREET,NATCHEZ (west leg),EB,NT,165,,BEDFORD PARK,65th Street & Natchez,
685.0,GRAND,5500 WEST,EB,MB,65,,CHICAGO,5500 W Grand,17031191200
3498.0,95TH STREET,BISHOP,EB,NS,"N9,95",N9,CHICAGO,95th Street & Bishop,17031730400
4775.0,FOSTER,VIRGINIA,EB,MT,"92,93",,CHICAGO,Foster & Virginia,17031040300
5648.0,IRVING PARK,ALBANY,EB,NS,80,,CHICAGO,Irving Park & Albany,17031160700
10173.0,69TH STREET,STEWART,EB,NS,67,,CHICAGO,69th Street & Stewart,17031681200
2811.0,79TH STREET,EXCHANGE (south leg),EB,NS,79,N79,CHICAGO,79th Street & Exchange,17031460100
12219.0,103RD STREET,EBERHART,EB,NS,106,,CHICAGO,103rd Street & Eberhart,17031490900
2769.0,79TH STREET,VINCENNES,EB,NS,"8A,79",N79,CHICAGO,79th Street & Vincennes,17031440400
738.0,GRAND,HALSTED/MILWAUKEE,EB,NS,65,,CHICAGO,Grand & Halsted/Milwaukee (Blue Line),17031243500
14536.0,ASHLAND,AUGUSTA,NB,FS,9,N9,CHICAGO,Ashland & Augusta,17031242000
14606.0,CALIFORNIA,CERMAK,NB,FS,94,,CHICAGO,California & Cermak,17031300100
1908.0,CLARK,DICKENS,NB,NS,"22,36",N22,CHICAGO,Clark & Dickens,17031071400
7179.0,LAKE PARK,55TH STREET,SB,NS,"15,28",,CHICAGO,Lake Park & 55th Street,17031410800
4695.0,PULASKI,107TH STREET,NB,NS,53A,,CHICAGO,Pulaski & 107th Street,17031740300
9965.0,KEDZIE,112TH STREET(north leg),NB,NS,52A,,CHICAGO,Kedzie & 112th Street,17031740100
11763.0,NARRAGANSETT,BELLE PLAINE,NB,NT,86,,CHICAGO,Narragansett & Belle Plaine,17031150500
17266.0,CLARK,ARLINGTON (south leg),NB,FS,"22,36",N22,CHICAGO,Clark & Arlington,17031070100
2281.0,STATE,82ND STREET,NB,NS,29,,CHICAGO,State & 82nd Street,17031440300
7126.0,STONY ISLAND,70TH STREET,NB,NS,28,,CHICAGO,Stony Island & 70th Street,17031430200
