census_tract,Tree_Canopy,Affordable_Housing,Parks,Transit_Stop,Bike_Miles,Wifi_Hotspots,School_Density,Library_Count,Small_Business,Grocery_Store,Tract_Area_SqMi,Population
17031161100,29.107832054104737,59.2784,55.8378,92.784,4.8985,4.4924,25.773,10.309,77.3196,6.701,0.2226,1940
17031161200,23.25411480597841,64.539,59.6298,17.73,3.8491,5.0,28.369,7.092,55.3191,5.6738,0.2,2820
17031161300,23.96739932309635,40.0103,64.3481,41.036,5.7654,5.2056,20.518,2.565,127.4686,17.4404,0.1921,3899
17031170100,15.65176347703193,64.4051,87.9046,122.911,1.0281,5.1046,9.833,9.833,99.3117,12.7827,0.3918,2034
17031170200,22.4393682431174,0.5247,36.5302,44.596,0.0,7.9208,15.74,5.247,53.5152,2.361,0.2525,3812
17031170300,20.75116978225695,25.115,79.978,42.178,0.4793,5.5566,9.586,5.752,51.5721,6.135,0.5399,5216
17031170400,20.685604156560363,0.0,24.5741,28.979,0.0,3.3613,4.83,2.415,57.474,12.3159,0.2975,4141
17031170500,22.9674588942729,0.0,23.3722,31.979,2.5327,1.6844,3.762,1.881,20.8804,2.2573,0.5937,5316
17031170600,24.324306043819107,0.0,62.9871,27.44,3.0907,0.0,3.92,3.92,21.1682,0.0,0.2203,2551
17031170700,20.46568861006055,0.0,62.2804,26.076,0.0,4.4883,6.519,3.259,40.0913,5.5411,0.2228,3068
17031170800,21.57951667249069,1.3161,0.0,31.587,0.0,3.5474,2.632,2.632,65.0171,9.7394,0.2819,3799
17031170900,22.376652951003656,3.0084,0.0,36.101,0.0,8.071,6.017,6.017,33.0927,3.6101,0.1239,1662
17031171000,22.87346807774627,1.3674,43.0822,31.451,0.0,3.7154,9.572,4.102,62.6282,9.572,0.5383,7313
17031171100,19.473298651273687,0.0,0.0,33.058,0.0,3.8971,16.529,4.723,47.9339,6.1393,0.2566,4235
17031180100,22.23960128281108,1.8029,21.3789,27.043,0.0,2.4284,4.507,4.507,39.6635,4.9579,0.4118,6656
